Date,Country,Distributor,Brand,Operator,Unit Cost,Amount,Unit Price,Sales
24-05-2018,Colombia,Metro,Apple,Tuenti,750,89,1200,106800
31-05-2020,El Salvador,Saga Falabella,Apple,Tuenti,750,34,1200,40800
30-08-2021,Switzerland,Metro,Apple,Tuenti,750,18,1200,21600
03-08-2021,Mexico,Oeschle,Apple,Tuenti,750,129,1200,154800
21-03-2018,Paraguay,Ripley,Apple,Tuenti,750,95,1200,114000
21-01-2018,Cuba,Ripley,Apple,Tuenti,750,25,1200,30000
03-04-2021,Cuba,Ripley,Apple,Tuenti,750,19,1200,22800
31-10-2020,Jamaica,Oeschle,Apple,Tuenti,750,50,1200,60000
19-09-2019,USA,Saga Falabella,Apple,Tuenti,750,16,1200,19200
08-06-2019,El Salvador,Metro,Apple,Tuenti,750,15,1200,18000
14-10-2021,USA,Plaza Vea,Apple,Tuenti,750,185,1200,222000
09-05-2021,USA,Metro,Apple,Tuenti,750,89,1200,106800
06-07-2019,Colombia,Tottus,Apple,Tuenti,750,250,1200,300000
03-06-2020,Cuba,Plaza Vea,Apple,Tuenti,750,94,1200,112800
03-12-2021,Ireland,Oeschle,Apple,Tuenti,750,31,1200,37200
21-02-2020,Cuba,Saga Falabella,Apple,Tuenti,750,39,1200,46800
23-02-2021,Chile,Ripley,Apple,Tuenti,750,60,1200,72000
06-09-2019,Spain,Plaza Vea,Apple,Tuenti,750,166,1200,199200
22-12-2018,Germany,Tottus,Apple,Tuenti,750,130,1200,156000
13-05-2018,Cuba,Oeschle,Apple,Tuenti,750,57,1200,68400
26-07-2019,Denmark,Saga Falabella,Apple,Tuenti,750,16,1200,19200
31-01-2020,Denmark,Plaza Vea,Apple,Tuenti,750,69,1200,82800
30-07-2021,Colombia,Oeschle,Apple,Tuenti,750,157,1200,188400
09-11-2019,Uruguay,Ripley,Apple,Tuenti,750,53,1200,63600
12-06-2021,El Salvador,Metro,Apple,Tuenti,750,138,1200,165600
27-05-2021,Venezuela,Metro,Apple,Tuenti,750,92,1200,110400
19-06-2018,Portugal,Metro,Apple,Tuenti,750,135,1200,162000
13-09-2018,Switzerland,Plaza Vea,Apple,Tuenti,750,176,1200,211200
01-01-2019,Denmark,Oeschle,Apple,Tuenti,750,105,1200,126000
08-01-2019,Brasil,Plaza Vea,Apple,Tuenti,750,153,1200,183600
27-06-2018,Brasil,Metro,Apple,Tuenti,750,86,1200,103200
27-03-2018,El Salvador,Oeschle,Apple,Tuenti,750,126,1200,151200
28-10-2020,Germany,Tottus,Apple,Tuenti,750,64,1200,76800
23-12-2021,Jamaica,Saga Falabella,Apple,Tuenti,750,5,1200,6000
04-04-2021,Portugal,Metro,Apple,Tuenti,750,134,1200,160800
05-08-2018,Switzerland,Plaza Vea,Apple,Tuenti,750,54,1200,64800
28-04-2021,Guatemala,Metro,Apple,Tuenti,750,9,1200,10800
22-12-2021,Spain,Ripley,Apple,Tuenti,750,48,1200,57600
24-04-2018,Canada,Metro,Apple,Tuenti,750,91,1200,109200
13-11-2021,Bolivia,Saga Falabella,Apple,Tuenti,750,32,1200,38400
26-04-2018,Cuba,Ripley,Apple,Tuenti,750,85,1200,102000
18-03-2018,Denmark,Ripley,Apple,Tuenti,750,64,1200,76800
09-12-2021,El Salvador,Saga Falabella,Apple,Tuenti,750,23,1200,27600
31-05-2018,Brasil,Metro,Apple,Tuenti,750,55,1200,66000
17-01-2018,USA,Oeschle,Apple,Tuenti,750,230,1200,276000
18-11-2021,Venezuela,Metro,Apple,Tuenti,750,98,1200,117600
25-06-2019,Uruguay,Metro,Apple,Tuenti,750,38,1200,45600
04-01-2020,United Kingdom,Tottus,Apple,Tuenti,750,114,1200,136800
11-10-2019,El Salvador,Saga Falabella,Apple,Tuenti,750,24,1200,28800
11-02-2019,Portugal,Ripley,Apple,Tuenti,750,39,1200,46800
23-07-2020,Paraguay,Tottus,Apple,Tuenti,750,6,1200,7200
27-09-2018,Switzerland,Ripley,Apple,Tuenti,750,47,1200,56400
22-10-2021,Germany,Ripley,Apple,Tuenti,750,89,1200,106800
01-09-2019,Colombia,Tottus,Apple,Tuenti,750,245,1200,294000
11-05-2019,Denmark,Plaza Vea,Apple,Tuenti,750,109,1200,130800
31-10-2018,Chile,Ripley,Apple,Tuenti,750,98,1200,117600
30-09-2019,Brasil,Tottus,Apple,Tuenti,750,280,1200,336000
10-10-2021,Germany,Oeschle,Apple,Tuenti,750,187,1200,224400
09-06-2018,El Salvador,Ripley,Apple,Tuenti,750,86,1200,103200
24-05-2018,Colombia,Metro,Apple,Tuenti,750,89,1200,106800
31-05-2020,El Salvador,Saga Falabella,Apple,Tuenti,750,34,1200,40800
30-08-2021,Switzerland,Metro,Apple,Tuenti,750,18,1200,21600
03-08-2021,Mexico,Oeschle,Apple,Tuenti,750,129,1200,154800
21-03-2018,Paraguay,Ripley,Apple,Tuenti,750,95,1200,114000
21-01-2018,Cuba,Ripley,Apple,Tuenti,750,25,1200,30000
03-04-2021,Cuba,Ripley,Apple,Tuenti,750,19,1200,22800
31-10-2020,Jamaica,Oeschle,Apple,Tuenti,750,50,1200,60000
19-09-2019,USA,Saga Falabella,Apple,Tuenti,750,16,1200,19200
08-06-2019,El Salvador,Metro,Apple,Tuenti,750,15,1200,18000
14-10-2021,USA,Plaza Vea,Apple,Tuenti,750,185,1200,222000
09-05-2021,USA,Metro,Apple,Tuenti,750,89,1200,106800
06-07-2019,Colombia,Tottus,Apple,Tuenti,750,250,1200,300000
03-06-2020,Cuba,Plaza Vea,Apple,Tuenti,750,94,1200,112800
03-12-2021,Ireland,Oeschle,Apple,Tuenti,750,31,1200,37200
21-02-2020,Cuba,Saga Falabella,Apple,Tuenti,750,39,1200,46800
23-02-2021,Chile,Ripley,Apple,Tuenti,750,60,1200,72000
06-09-2019,Spain,Plaza Vea,Apple,Tuenti,750,166,1200,199200
22-12-2018,Germany,Tottus,Apple,Tuenti,750,130,1200,156000
13-05-2018,Cuba,Oeschle,Apple,Tuenti,750,57,1200,68400
26-07-2019,Denmark,Saga Falabella,Apple,Tuenti,750,16,1200,19200
31-01-2020,Denmark,Plaza Vea,Apple,Tuenti,750,69,1200,82800
30-07-2021,Colombia,Oeschle,Apple,Tuenti,750,157,1200,188400
09-11-2019,Uruguay,Ripley,Apple,Tuenti,750,53,1200,63600
12-06-2021,El Salvador,Metro,Apple,Tuenti,750,138,1200,165600
27-05-2021,Venezuela,Metro,Apple,Tuenti,750,92,1200,110400
19-06-2018,Portugal,Metro,Apple,Tuenti,750,135,1200,162000
13-09-2018,Switzerland,Plaza Vea,Apple,Tuenti,750,176,1200,211200
01-01-2019,Denmark,Oeschle,Apple,Tuenti,750,105,1200,126000
08-01-2019,Brasil,Plaza Vea,Apple,Tuenti,750,153,1200,183600
27-06-2018,Brasil,Metro,Apple,Tuenti,750,86,1200,103200
27-03-2018,El Salvador,Oeschle,Apple,Tuenti,750,126,1200,151200
28-10-2020,Germany,Tottus,Apple,Tuenti,750,64,1200,76800
23-12-2021,Jamaica,Saga Falabella,Apple,Tuenti,750,5,1200,6000
04-04-2021,Portugal,Metro,Apple,Tuenti,750,134,1200,160800
05-08-2018,Switzerland,Plaza Vea,Apple,Tuenti,750,54,1200,64800
28-04-2021,Guatemala,Metro,Apple,Tuenti,750,9,1200,10800
22-12-2021,Spain,Ripley,Apple,Tuenti,750,48,1200,57600
24-04-2018,Canada,Metro,Apple,Tuenti,750,91,1200,109200
13-11-2021,Bolivia,Saga Falabella,Apple,Tuenti,750,32,1200,38400
26-04-2018,Cuba,Ripley,Apple,Tuenti,750,85,1200,102000
18-03-2018,Denmark,Ripley,Apple,Tuenti,750,64,1200,76800
09-12-2021,El Salvador,Saga Falabella,Apple,Tuenti,750,23,1200,27600
31-05-2018,Brasil,Metro,Apple,Tuenti,750,55,1200,66000
17-01-2018,USA,Oeschle,Apple,Tuenti,750,230,1200,276000
18-11-2021,Venezuela,Metro,Apple,Tuenti,750,98,1200,117600
25-06-2019,Uruguay,Metro,Apple,Tuenti,750,38,1200,45600
04-01-2020,United Kingdom,Tottus,Apple,Tuenti,750,114,1200,136800
11-10-2019,El Salvador,Saga Falabella,Apple,Tuenti,750,24,1200,28800
11-02-2019,Portugal,Ripley,Apple,Tuenti,750,39,1200,46800
23-07-2020,Paraguay,Tottus,Apple,Tuenti,750,6,1200,7200
27-09-2018,Switzerland,Ripley,Apple,Tuenti,750,47,1200,56400
22-10-2021,Germany,Ripley,Apple,Tuenti,750,89,1200,106800
01-09-2019,Colombia,Tottus,Apple,Tuenti,750,245,1200,294000
11-05-2019,Denmark,Plaza Vea,Apple,Tuenti,750,109,1200,130800
31-10-2018,Chile,Ripley,Apple,Tuenti,750,98,1200,117600
30-09-2019,Brasil,Tottus,Apple,Tuenti,750,280,1200,336000
10-10-2021,Germany,Oeschle,Apple,Tuenti,750,187,1200,224400
09-06-2018,El Salvador,Ripley,Apple,Tuenti,750,86,1200,103200
22-01-2021,Portugal,Ripley,Apple,Bitel,750,7,1200,8400
14-08-2021,Mexico,Oeschle,Apple,Bitel,750,114,1200,136800
20-11-2020,Paraguay,Ripley,Apple,Bitel,750,57,1200,68400
13-10-2021,Venezuela,Oeschle,Apple,Bitel,750,66,1200,79200
22-08-2020,Germany,Saga Falabella,Apple,Bitel,750,20,1200,24000
